,cleaned_review,Rating,Predicted Sentiment,Sentiment,Overall Sentiment,Subjectivity
0,precovid always packed overflowing people waiting outside seat hearing cheap drink free cotton candy already hookedive tried okonomiyaki beer bit wait worth vibe decor price also mention free cotton candy meal,5,1.0,0.3,4,0.49000000000000005
1,great spot east village loved interior restaurant saw outside loved even walked inside cozy casual feel although menu bit overwhelming visually fun see photo know expect bunch thing wanted try friend ended trying fried squid leg crunchy tasty salmon belly much seasoningflavoring added fatty satisfying fried rice one seaweed top great variety different ingredient cow tongue good thinly sliced ive typically seen eggplant friend described clean enjoyed every single dish great time end meal provided small cup cotton candy sugar brought front restaurant make cotton candy machine funtaste 445atmosphere 5presentation 4service 35overall 45,5,1.0,0.23674948240165625,4,0.5890269151138715
2,legit cool cheap good drink get like 3 cocktail 20what steal vibe decoration inside also great weird music make seem like youre getting brainwashed join army im also fairly good price omurice greatwho doesnt like chicken fried rice along egg yum definitely come back hang tableschairs bit small room since leg crammed table,4,0.5,0.16,3,0.6150000000000001
3,kenka lot fun walk around st mark cant miss popular young people probably price supposed authentic izakaya pretend youre traveling pandemic always loud crowded artwork decor really cool check red octopus im sure whats mannequin there even godzilla tokyo tower menu find california roll menu really interesting thing dont forget cotton candy,4,0.5,0.3277777777777778,4,0.5654320987654321
4,another great izakaya spot similar udon west midtown reviewed day agohighlights open late 4am best price item 10 wide variety endless ala carte option 150glass asahi sapporo 8 pitcherslowlights motsunabe closer dwaenjang chige korean miso stew traditional japanese nabe term broth ingredient disappointed know prior ordering still good dish inaccurate representation crowded dislike sitting shoulder shoulder guest may wait time restaurant overtly popular younger crowdill briefly explain thought dish orderedthe maguro salad 8 uniquely prepared item reminiscent big city diner ray chans ultimate poke hawaii slab maguro tuna bed green dressed light sriracha ponzu sauce enough 23 sharethe ankimo 7 chilled monkfish liver would close cousin foie gras fatty difficult stomach cousin flavorful savory profile salty topped dollop tobiko flying fish roe dressed ponzu sauce great one several appetizer table serf 14the karaage chicken 7 one would expect japanese fried chicken taste meet stop izakaya goer expects crunchy served hot fresh deep fryer signature mirin taste without overpowering single order serf 14the motsunabe 29 conflicted dish night expected japanese style dashi broth expecting korean miso stew nothing else menu indicated kenka served japanesekorean fusion still hot pot prepared fair portion meat veg served tableside gas hot plate keep warm throughout meal fan korean soup like dwaenjang chige soondubu kimchee chige enjoy selection easily serf 36 come large portioned itemoverall experience fantastic staff work team service speedy restaurant clean kenka sits toplist late night cheap alcohol izakayas manhattan,5,1.0,0.11723602484472051,3,0.5523809523809523
5,kenka solid japanese restaurant huge selection lowpriced high quality there room wait inside probably best put name take walk get really busy night arrive 8pm weekday expect wait 30 minute inside come pretty quickly server attentive nice good ordering ton item thats ill highlight favorite least favorite though everything good gyudon dish awesome beef flavorful mixed rice onion green onion garlic pretty sizable dish 550 definitely good item lunch would definitely get many thing choose would disservice getting thing next time onigiri kind copout rice ball meh big deal theyre rice ball seem like filler anything else probably wouldnt get especially another dish already rice price 55quality 45quantity 55service 45atmosphere 35one thing didnt love table since knee kept hitting end table essentially box youll notice many people sitting seemingly comfortably angle,4,0.5,0.29333333333333333,4,0.5964516129032259
6,last time pre covid went yesterday covid measure couple table outside table distanced apart inside got 530pm saturday hostess said opened 5pm reopened month ago still cheap beer good gotta love decor inside,5,1.0,0.32,4,0.4033333333333333
7,really enjoy authentic japanese experience super affordable always come hot fresh staff friendly upholding covid guideline well cant wait go back,5,1.0,0.26979166666666665,4,0.4708333333333333
8,visited kenka couple time husband graduated school werent 3 year since need come wait open 600pm get table wait 12 hour line solid japanese izakaya amazingly affordable price ordered 12 dish group 6 people paid 25 person however service horrible reluctant tried ask recommendation waiter kept ignoring question really ridiculous 6 table still available people waited outside time first group served didnt wait line,2,-0.5,-0.009259259259259238,3,0.4759259259259259
9,japanese izakaya st mark get busy quickly prepared wait outside seated interior interesting collage japanese bondage reflection traditional street side old day patron expect see many sexual innuendo form art may picture worthy get served quite quickly long list item menu beer served tower ask larger beer cup serve half size mason jar server keen anyone take long order interrupt walk wayits nice visit since every one talk previous review reflect lot hype quality money pay,3,0.0,0.1490196078431373,3,0.42745098039215695
10,ugh bit disappointed location saint mark street east village always hype yeah find basementlike restaurant always people waiting outside room yeah thats probably kenka famous interesting installation art along authentic japanese foodfood actually disappointed pricy good chicken skin hard bite everything else bland cant think tasting like disaster service average made wait outside even thought plenty table insideoverall nice gave 3 star hmm,3,0.0,0.00654761904761904,3,0.5839285714285715
11,came friend moved nyc suggested wanted check cant get seattle ended got right opened quite queue got got packed quickly menu vast almost overwhelming go love include image item help select wanted eat cheap make order try multiple thing family style everything good imagery bit offputting youre prude honestly pretty cool eat drink alcohol merry,4,0.5,0.3319047619047619,4,0.6585714285714286
12,ive coming since college day still remains really poppin young people staff service great think main reason young people love coming vibe environment inside huge variety alcohol relatively cheaper side honestly perfect spot get lit friend decent said reason give 3 star pretty soso honest ive okonomiyaki came dry slightly burnt udon tasted like normal udon wasnt bad karagae sorta dry flavorlesstheir ramen averageoverall dont think amazing pretty meh average honestly think huge variety alcohol decent plus great environment get lit friend selling case going youre looking good dinner though would pas tbh,3,0.0,0.272,4,0.638
13,lot people go kenka late night snacksbeers went nye decoration fun interesting made u wait 2030 min 23 empty table without explaining bathroom disgusting always drunk people yelling making much noise definitely date night talk would go another yakidori,3,0.0,-0.11250000000000002,3,0.5625
14,little weird great cheap miso ramen buttery inside restaurant different room back creepy mannequin one naked hanging ceiling little weirdthe 9 pound curry challenge one person 25 fee finishalso pink sugar give meal cotton candy machine outside didnt realize till left,3,0.0,-0.022916666666666658,3,0.4833333333333334
15,favorite restaurant east village many village staff always friendly wait time always worth happy know reopened missed much always torus karaage omurice yakitori yakimeshi sorry mispelled always mispronounce going back soon possibly inviting friend big table birthday december haha covid measure well prepared dining distance 6 foot affordable great taste,5,1.0,0.2645833333333334,4,0.5375
16,definitely hole wall authentic izakaya vibe extensive menu included interesting choice testicle anyone classic including skewer ramen tonkatsu item super cheap portion small 7 people 3 bottle sake dinner 400 tax tip included automaticallythey take reservation even large group come early leave name time kill store upstairs looked pretty intense bizarre might worth ogling minute plenty bar nearby wait though tue night 730pm seat small low crowded might best joint issue good thing except corner floor,4,0.5,0.25357142857142856,4,0.5025132275132276
17,five star 8 pitcher kirin great deal nyc favorite mine grad school every time come back brings back great memoriesthe good price pay really steal considering manhattan selection made takoyaki likely premade heated still taste pretty good gyoza tasted really gingerygarlicky okonomiyaki youd expect little bit small sidethe chicken yakitori well seasoned hot id want age dashi tofu pretty good wellwe ordered bottle seasonal sake pretty goodwill definitely back,5,1.0,0.240625,4,0.5825
18,short hair waitress told disrespectful tipping tonight dont know long america tipping mandatory service attitude suck,1,-1.0,-0.025,3,0.35
19,first dont come kenka come izakaya experience ambience good time friend first found kid high school amazing still see around cheap price menu truly landmark st mark area accept reservation wait list arrive put name front stand around call name cannot put phone number wait outside waiting game part experience kenka actually great marketing scheme generates crowd front 8pm saturday night party 2 took u 15 hour get table inside actually quite spacious bunch table spread dont feel like youre top another partyi modan yaki basically okonomiyaki except addition noodle lot sauce tasted greasy could imagine would taste great drunk 2am thing spicy raw tuna egg salad general isnt bad isnt anything mind blowing would say russian roulette takoyaki disappointing tasted exactly like premade takoyaki get freezer section market however considering price everything pretty good deal cant complain also note time review c grade safetysanitation,4,0.5,0.15615384615384614,3,0.5302319902319901
20,kenka feel like authentic japanese restaurant honestly wouldnt know difference ive never would imagine would could look taste like japan menu enormous diverse tasty come fast try frog crispy also loved tuna fried oyster reason 4 star wait got right opened saturday waited 1 hour right give finally called u definitely spot see nyc,4,0.5,0.2571428571428571,4,0.6521428571428571
21,visited kenka first time around 945pm yesterday livelymy wife friend wanted japanese visited kenka arrived lot people standing around waiting name called excited usually mean good put name 3040 min passed ushered table entered sat immediately knew wasnt restaurant lol izakaya casual japanese pub stayed ordered pitcher sapporo bunch dish share amongst table favorite okonomi yaki japanese pancake 8 dollar pitcher good deal toomy two cent although wasnt bad dont come expecting best japanese manhattan come experience ambience good time cool people,4,0.5,0.24140625000000002,4,0.48463541666666665
22,happy find kenka reopened last night dinner beyond perfect favorite restaurant hand,5,1.0,0.575,4,0.7666666666666666
